,Product Name,Prices,Description,Rating,Review
0,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
1,"Apple iPhone 15 (Blue, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
2,"Apple iPhone 15 (Black, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
3,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
4,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
5,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
6,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
7,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
8,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
9,"realme 12x 5G (Woodland Green, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
10,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,847",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
11,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,853",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
12,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
13,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,963",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
14,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,839",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
15,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
16,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
17,"POCO C65 (Matte Black, 256 GB)","₹7,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2,"3,419 Ratings  241 Reviews"
18,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
19,"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹30,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4,"6,165 Ratings  753 Reviews"
20,"Motorola g64 5G (Pearl Blue, 128 GB)","₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP Front Camera6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,4.2,"1,951 Ratings  116 Reviews"
21,"realme C51 (Mint Green, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
22,"realme C51 (Carbon Black, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
23,"Apple iPhone 15 (Green, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
24,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
25,"Apple iPhone 15 (Blue, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
26,"Apple iPhone 15 (Black, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
27,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
28,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
29,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
30,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
31,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
32,"realme 12x 5G (Woodland Green, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
33,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,857",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
34,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,854",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
35,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,964",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
36,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,846",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
37,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
38,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
39,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
40,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
41,"POCO C65 (Matte Black, 256 GB)","₹7,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2,"3,419 Ratings  241 Reviews"
42,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
43,"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹30,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4,"6,165 Ratings  753 Reviews"
44,"realme C51 (Carbon Black, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
45,"realme C51 (Mint Green, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
46,"realme C51 (Carbon Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
47,"realme C51 (Mint Green, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
48,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
49,"Apple iPhone 15 (Blue, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
50,"Apple iPhone 15 (Black, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
51,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
52,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
53,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
54,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
55,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
56,"realme 12x 5G (Woodland Green, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
57,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,857",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
58,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,854",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
59,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,964",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
60,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,846",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
61,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
62,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
63,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
64,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
65,"POCO C65 (Matte Black, 256 GB)","₹7,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2,"3,419 Ratings  241 Reviews"
66,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
67,"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹30,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,4.4,"6,165 Ratings  753 Reviews"
68,"realme C51 (Carbon Black, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
69,"realme C51 (Mint Green, 128 GB)","₹9,199",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
70,"realme C51 (Carbon Black, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
71,"realme C51 (Mint Green, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display50MP + 0.08MP | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"80,557 Ratings  3,552 Reviews"
72,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
73,"Apple iPhone 15 (Blue, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
74,"Apple iPhone 15 (Black, 128 GB)","₹70,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"29,434 Ratings  1,815 Reviews"
75,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
76,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,"84,376 Ratings  5,734 Reviews"
77,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
78,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
79,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
